"id","pokemon_ability_id","effect","language","short_effect"
210,106,"Wenn ein Pokémon mit dieser Fähigkeit von einer Attacke mit Kontakt besiegt wird, erleidet der Anwender 1/4 seiner maximalen hp Schaden.",de,"Schadet dem Angreifer mit 1/4 seiner max hp, wenn das Pokémon von einer Attacke mit Kontakt besiegt wird."
219,106,"When this Pokémon is knocked out by a move that makes contact, the move's user takes 1/4 its maximum HP in damage.",en,Damages the attacker for 1/4 its max HP when knocked out by a contact move.
211,107,"Wenn ein Pokémon mit dieser Fähigkeit den Kampf betritt und ein Gegner eine Attacke hat die super effective gegen das Pokémon ist, self destruct, explosion oder eine K.O.-Attacke hat, werden alle Trainer darüber benachrichtigt.

Die Attacke selbst wird nicht angekündigt, nur ihre Anwesenheit. Attacken die typenlosen Schaden verursachen, wie future sight und Attacken mit variablen Typ, wie hidden power, werden nach ihrem angezeigten Typ gezählt. counter, metal burst, mirror coat und K.O.-Attacken gegen die das Pokémon immun ist werden nicht gezählt.",de,"Benachrichtigt alle Trainer im Kampf, wenn ein Gegner eine sehr effektive Attacke, self destruct, explosion oder eine K.O.Attacke hat."
218,107,"When this Pokémon enters battle, if one of its opponents has a move that is super effective against it, self destruct, explosion, or a one-hit knockout move, all participating trainers are notified.

The move itself is not revealed; only that there is such a move.  Moves that inflict typeless damage, such as future sight, and moves of variable type, such as hidden power, count as their listed types.  counter, metal burst, mirror coat, and one-hit KO moves to which this Pokémon is immune do not trigger this ability.",en,"Notifies all trainers upon entering battle if an opponent has a super-effective move, self destruct, explosion, or a one-hit KO move."
214,108,"Wenn ein Pokémon mit dieser Fähigkeit den Kampf betritt, wird die Attacke mit der höchsten Basisstärke eines der Gegner an alle Trainer angekündigt.

Wenn es mehrere gleichstarke Attacken gibt, wird eine zufällige gewählt.

Attacken ohne angezeigt Basisstärke werden wie folgt behandelt:

Stärke | Attacken
 ----: | -----
   160 | K.O.-Attacken: fissure, guillotine, horn drill und sheer cold
   120 | Konter-Attacken: counter, metal burst und mirror coat
    80 | Variable Stärke oder fester Schaden: crush grip, dragon rage, electro ball, endeavor, final gambit, flail, frustration, grass knot, gyro ball, heat crash, heavy slam, hidden power, low kick, natural gift, night shade, psywave, return, reversal, seismic toss, sonic boom, trump card und wring out
     0 | Jede andere Attacke
",de,Enthüllt die Stärkste Attacke des Gegners beim Betreten des Kampfes.
222,108,"When this Pokémon enters battle, it reveals the move with the highest base power known by any opposing Pokémon to all participating trainers.

In the event of a tie, one is chosen at random.

Moves without a listed base power are assigned one as follows:

Power | Moves
----: | -----
  160 | One-hit KO moves: fissure, guillotine, horn drill, and sheer cold
  120 | Counter moves: counter, metal burst, and mirror coat
   80 | Variable power or set damage: crush grip, dragon rage, electro ball, endeavor, final gambit, flail, frustration, grass knot, gyro ball, heat crash, heavy slam, hidden power, low kick, natural gift, night shade, psywave, return, reversal, seismic toss, sonic boom, trump card, and wring out
    0 | Any such move not listed
",en,Reveals the opponents' strongest move upon entering battle.
215,109,"Pokémon mit dieser Fähigkeit ignorieren die stat modifier der Gegner bei der Berechnung des Schadens und der accuracy.

Dies beeinflusst effektiv alle Änderungen der Statuswerte außer speed.

Die Stärke von punishment und stored power wird normal berechnet. Wenn sich das Pokémon wegen confusion selbst verletzt, beeinflussen die stat modifier den Schaden wie sonst auch.",de,Ignoriert die stat modifier der Pokémon bei der Schadens- und Genauigkeitsberechnung.
220,109,"This Pokémon ignores other Pokémon's stat modifiers for the purposes of damage and accuracy calculation.

Effectively, this affects modifiers of every stat except Speed.

The power of punishment and stored power is calculated as usual.  When this Pokémon hurts itself in confusion, its stat modifiers affect damage as usual.",en,Ignores other Pokémon's stat modifiers for damage and accuracy calculation.
216,110,Pokémon mit dieser Fähigkeit verdoppeln den Schaden von Attacken die not very effective gegen das Ziel sind.,de,Verdoppelt den durch nicht sehr effektiven Attacken verursachten Schaden.
221,110,This Pokémon deals twice as much damage with moves that are not very effective against the target.,en,Doubles damage inflicted with not-very-effective moves.
223,111,"Pokémon mit dieser Fähigkeit erleiden nur 75% des Schadens, der durch Attacken die super effective sind verursacht wurde.

Die Fähigkeit ist identisch mit solid rock.",de,Reduziert den durch sehr effektive Attacken verursachten Schaden um 1/4.
228,111,"This Pokémon takes 0.75× as much damage from moves that are super effective against it.

This ability functions identically to solid rock.",en,Decreases damage taken from super-effective moves by 1/4.
224,112,"Der attack und die speed von Pokémon mit dieser Fähigkeit werden 5 Runden nach Betreten des Kampfes halbiert.

Die Fähigkeit wirkt auch, wenn sie während des Kampfes erlangt wird. Wenn das Pokémon die Fähigkeit nach Beginn des Kampfes verliert, werden sein attack und seine speed wieder normal, wenn es die Fähigkeit dann wieder erlangt, werden attack und speed wieder halbiert, aber der Zähler wird nicht zurückgesetzt.",de,Halbiert den attack und die speed 5 Runden lang nach Betreten des Kampfes.
233,112,"This Pokémon's Attack and Speed are halved for five turns upon entering battle.

This ability also takes effect when acquired during battle.  If this Pokémon loses its ability before the five turns are up, its Attack and Speed return to normal; if it then regains this ability without leaving battle, its Attack and Speed are halved again, but the counter keeps counting from where it was.",en,Halves Attack and Speed for five turns upon entering battle.
225,113,"Pokémon mit dieser Fähigkeit ignorieren die Immunität von ghost Pokémon gegen normal und fighting Attacken.

Der zweite Typ des ghost Pokémons beeinflusst den Schaden wie sonst auch.",de,Lässt die normal und fighting Attacken des Pokémons ghost Pokémon treffen.
232,113,"This Pokémon ignores ghost-type Pokémon's immunity to normal- and fighting-type moves.

Ghost Pokémon's other types affect damage as usual.",en,Lets the Pokémon's normal and fighting moves hit ghost Pokémon.
226,114,"Alle water Attacken von anderen Pokémon mit nur einem Ziel werden auf das Pokémon mit dieser Fähigkeit umgeleitet, wenn es ein mögliches Ziel ist. water die dieses Pokémon treffen erhöhen seinen special attack um eine Stufe, wobei jeder andere Effekt entfernt wird. Die Attacke kann außerdem nicht daneben gehen.

Wenn das eigentliche Ziel der Attacke die Fähigkeit ebenfalls hat, wird die Attacke nicht umgeleitet. Wenn mehrere Pokémon mit dieser Fähigkeit mögliche Ziele sind, wird die Attacke zu dem mit der höchsten speed, oder, bei Gleichstand, zu einem zufälligen Pokémon umgeleitet. follow me erhält vor dieser Fähigkeit den Vorzug.",de,Leitet water Attacken auf dieses Pokémon um. Absorbiert water Attacken und erhöht den special attack um 1 Stufe.
237,114,"All other Pokémon's single-target water-type moves are redirected to this Pokémon, if it is an eligible target.  Other Pokémon's Water moves raise this Pokémon's Special Attack one stage, negating any other effect on it, and cannot miss it.

If the move's intended target also has this ability, the move is not redirected.  When multiple Pokémon with this ability are possible targets for redirection, the move is redirected to the one with the highest Speed stat, or, in the case of a tie, to a random tied Pokémon.  follow me takes precedence over this ability.",en,"Redirects single-target water moves to this Pokémon where possible.  Absorbs Water moves, raising Special Attack one stage."
227,115,Pokémon mit dieser Fähigkeit heilen am Ende jeder Runde 1/16 ihrer maximalen HP wenn es hagelt und sie nehmen durch hail keinen Schaden unabhängig von ihrem Typ.,de,Heilt jede Runde 1/16 der max hp wenn es hagelt. Schützt vor Schäden durch hail.
235,115,"This Pokémon heals for 1/16 of its maximum HP after each turn during hail, and it does not take hail damage regardless of type.",en,Heals for 1/16 max HP after each turn during hail.  Protects against hail damage.
230,116,"Pokémon mit dieser Fähigkeit erleiden nur 75% des Schadens, der durch Attacken die super effective sind verursacht wurde.

Die Fähigkeit ist identisch mit filter.",de,Reduziert den durch sehr effektive Attacken verursachten Schaden um 1/4.
240,116,"This Pokémon takes 0.75× as much damage from moves that are super effective against it.

This ability functions identically to filter.",en,Decreases damage taken from super-effective moves by 1/4.
229,117,"Das weather ändert sich zu hail, wenn ein Pokémon mit dieser Fähigkeit den Kampf betritt. Dieser Effekt ist dauerhaft bis das weather geändert wird.

Wenn mehrere Pokémon mit dieser Fähigkeit, drizzle, drought oder sand stream zur selben Zeit den Kampf betreten, werden die Fähigkeiten nach Reihenfolge der speed der Pokémon ausgelöst, unter Berücksichtigung von trick room.",de,Ändert beim Betreten des Kampfes das weather in hail.
238,117,"The weather changes to hail when this Pokémon enters battle and does not end unless cancelled by another weather condition.

If multiple Pokémon with this ability, drizzle, drought, or sand stream are sent out at the same time, the abilities will activate in order of Speed, respecting trick room.  Each ability's weather will cancel the previous weather, and only the weather summoned by the slowest of the Pokémon will stay.",en,Summons hail that lasts indefinitely upon entering battle.
231,118,"Pokémon mit dieser Fähigkeit haben eine Chance nach dem Kampf honey aufzuheben. Die Chance startet bei 5% und steigt um weitete 5% mit jedem 10. Level: 5% bei Level 1–10, 10% bei 11–20 und so weiter, bis zu 50% bei 91–100.

Die Fähigkeit wird überprüft wenn der Kampf endet, wenn temporäre Fähigkeiten wieder weg sind.",de,Das Pokémon hebt nach dem Kampf gelegentlich honey auf.
239,118,"This Pokémon has a chance of picking up honey after each battle.  This chance starts at 5% and rises another 5% after every tenth level: 5% from level 1–10, 10% from 11–20, and so on, up to 50% from 91–100.

This ability is checked after the battle ends, at which point any temporary ability changes have worn off.",en,The Pokémon may pick up honey after battle.
241,119,"Wenn ein Pokémon mit dieser Fähigkeit den Kampf betritt, wird allen Trainern mitgeteilt, welches Item der Gegner hält.

Wenn bei Mehrfachkämpfen ein Gegner ein Item hält, wird dieses angezeigt, wenn mehr ein Item halten wird ein zufälliges angekündigt.",de,Enthüllt bei Kampfantritt das getragene Item des Gegners.
234,119,"When this Pokémon enters battle, it reveals an opposing Pokémon's held item to all participating trainers.

In a double battle, if one opponent has an item, this Pokémon will Frisk that Pokémon; if both have an item, it will Frisk one at random.",en,Reveals an opponent's held item upon entering battle.
236,120,"Rückstoß- und Crashattacken von Pokémon mit dieser Fähigkeit haben 1,2× so viel Basisstärke wie sonst.

struggle ist davon nicht betroffen.

""Crashattacken"" sind solche, die dem Anwender schaden wenn sie fehlschlagen wie jump kick und high jump kick.",de,Verstärkt Rückstoßattacken um 20%.
245,120,"This Pokémon's recoil moves and crash moves have 1.2× their base power.

struggle is unaffected.

The ""crash moves"" are the moves that damage the user upon missing: jump kick and high jump kick.",en,Strengthens recoil moves to 1.2× their power.
242,121,"Wenn arceus eine Tayp-Tafel hält, ändert sich sein Typ und seine Form entsprechend der Tafel.

arceus getragenes Item, egal ob es sich um eine Tafel handelt oder nicht, kann nicht durch covet oder thief gestohlen, oder mit knock off entfernt werden, noch kann es durch switcheroo oder trick getauscht werden. covet, thief and knock off richten trotzdem Schaden an. Anders als sticky hold kann arceus fling, switcheroo und trick nicht benutzen um das Item zu verlieren, noch eines durch switcheroo oder trick bekommen, wenn es keines trägt.

Die Fähigkeit hat keinen Effekt für Pokémon außer arceus. Die Fähigkeit kann nicht durch skill swap getauscht, mit role play bzw. trace kopiert, mit gastro acid deaktiviert oder mit worry seed geändert werden. Das Pokémon kann skill swap oder role play einsetzen um die Fähigkeit zu verlieren. mold breaker kann diese Fähigkeit nicht ignorieren.

Wenn sich ein Pokémon in ein arceus mit dieser Fähigkeit verwandelt, wird es sich in arceus normalform verwandeln. Wenn das sich verwandelnde Pokémon eine Tafel trägt, wird sich die Fähigkeit aktivieren und es in den entsprechenden Typ wandeln.",de,Ändert arceus Typ und Form entsprechend der Tafel die es hält.
247,121,"If this Pokémon is holding an elemental Plate, its type and form change to match the Plate.

This Pokémon's held item, whether or not it is a Plate, cannot be taken by covet or thief, nor removed by knock off, nor traded by switcheroo or trick.  Covet, Thief, and Knock Off still inflict damage against this Pokémon.  Unlike with sticky hold, this Pokémon cannot use fling, Switcheroo, or Trick to lose its item itself, nor gain an item through Switcheroo or Trick if it does not have one.

This ability has no effect for any Pokémon other than arceus.  This ability cannot be traded with skill swap, nor copied with role play or trace, nor disabled with gastro acid, nor changed with worry seed.  This Pokémon cannot use Skill Swap or Role Play to lose its ability itself.  mold breaker cannot ignore this ability.

If a Pokémon Transforms into an Arceus with this ability, it will Transform into Arceus's default, normal-type form.  If the Transforming Pokémon is holding a Plate, this ability will then activate and change the Pokémon into the corresponding form.",en,Changes arceus's type and form to match its held Plate.
243,122,"attack und special defense von Teampartnern sind während starkem Sonnenlicht 1,5× so hoch wie normal, wenn sich ein Pokémon mit dieser Fähigkeit im Kampf befindet.

Ansers als forecast, multitype und zen mode ist die Form des Pokémon nicht an diese Fähigkeit gebunden. cherrim kann seine Formen wechseln auch wenn es die Fähigkeit veloren hat. Die Fähigkeit wirkt auch auf anderen Pokémon, wenn sie von diesen erlangt wurde.",de,Erhöht attack und special defense von Partnern um 50% während starkem Sonnenlicht.
249,122,"Friendly Pokémon have 1.5× their Attack and Special Defense during strong sunlight if any friendly Pokémon has this ability.

Unlike forecast, multitype, and zen mode, this ability is not tied to its Pokémon's form change; cherrim will switch between its forms even if it loses this ability.  As such, this ability also works if obtained by a Pokémon other than Cherrim.",en,Increases friendly Pokémon's Attack and Special Defense to 1.5× during strong sunlight.
244,123,"Gegner erleiden am Ende jeder Runde 1/8 ihrer maximalen hp Schaden, wenn sie schlafen.",de,Fügt schlafenden Gegnern jede Runde 1/8 ihrer max hp Schaden zu.
250,123,Opposing Pokémon take 1/8 of their maximum HP in damage after each turn while they are asleep.,en,Damages sleeping opponents for 1/8 their max HP after each turn.
246,124,"Wenn ein Pokémon mit dieser Fähigkeit von einer Attacke getroffen wird die Kontakt herstellt, wird das vom Angreifer getragene Item auf das getroffene Pokémon übertragen, wenn dieses noch keins hält.

Das Pokémon stiehlt nicht, wenn es besiegt wird. Es kann auch stehlen, wenn der Angreifer einen substitute hat, aber nicht wenn der eigene getroffen wird. Wenn eine Attacke mehrmals trifft, löst nur der letzte Treffer die Fähigkeit aus. Wenn das Pokémon ein wildes ist, kann es kein Item stehlen.",de,Stiehlt angreifenden Pokémon bei Kontakt das Item.
252,124,"Whenever a move makes contact with this Pokémon, if it does not have a held item, it steals the attacker's held item.

This Pokémon cannot steal upon being knocked out.  It can steal if the attacker has a substitute, but cannot steal when its own Substitute is hit.  If a move hits multiple times, only the last hit triggers this ability.  If this Pokémon is wild, it cannot steal from a trained Pokémon.",en,Steals attacking Pokémon's held items on contact.
248,125,"Attacken von Pokémon mit dieser Fähigkeit die Zusatzeffekte haben, haben 1,3× so viel Basisstärke wie normal, dafür aber keinen Zusatzeffekt.

Ein Zusatzeffekt ist die Chance einer Attacke, als ""Effektchance"" bezeichnet, eine status ailment oder eine stat modifier hervorzurufen oder das Ziel zurückschrecken zu lassen, zusätzlich zum Haupteffekt einer Attacke. Zum Beispiel ist die paralysis die thunder shock verursachen kann ein Zusatzeffekt, im Gegensatz zu thunder wave, genauso wie das Entfernen des Items durch knock off und die erhöhte kritische Trefferchance durch air cutter.

Attacken die einen Statuswert des Anwenders senken sind nicht betroffen.",de,"Verstärkt Attacken mit Zusatzeffekt um 30%, verhindert aber den Zusatzeffekt."
256,125,"This Pokémon's moves with extra effects have 1.3× their power, but lose their extra effects.

An effect chance is a move's chance to inflict a status ailment, cause a stat change, or make the target flinch in addition to the move's main effect. For example, thunder shock's paralysis is an extra effect, but thunder wave's is not, nor are knock off's item removal and air cutter's increased critical hit rate.

Moves that lower the user's stats are unaffected.",en,"Strengthens moves with extra effects to 1.3× their power, but prevents their extra effects."
251,126,"Wenn ein Statuswert eines Pokémons mit dieser Fähigkeit erhöht werden würde, wird er stattdessen um die selbe Anzahl Stufen gesenkt",de,Invertiert Statuswertänderungen.
258,126,"Whenever this Pokémon's stats would be raised, they are instead lowered by the same amount, and vice versa.",en,Inverts stat changes.
253,127,"Wenn ein Pokémon mit dieser Fähigkeit im Kampf ist, können Gegner keine getragenen Beeren essen.

Betroffene Pokémon können trotzdem bug bite bzw. pluck einsetzen um die Beere des Ziels zu essen.",de,Hindert Gegner daran Beeren zu essen.
259,127,"Opposing Pokémon cannot eat held Berries while this Pokémon is in battle.

Affected Pokémon can still use bug bite or pluck to eat a target's Berry.",en,Prevents opposing Pokémon from eating held Berries.
254,128,"Wenn ein Statuswert eines Pokémon mit dieser Fähigkeit gesenkt wird, wird sein attack um 2 Stufen erhöht.

Wenn mehrere Statuswerte gesenkt löst die Fähigkeit für jeden Statuswert aus.",de,Erhöht den attack um 2 Stufen wenn ein Statuswert gesenkt wird.
261,128,"When any of this Pokémon's stats are lowered, its Attack rises by two stages.

If multiple stats are lowered at once, this ability takes effect with each stat lowered.",en,Raises Attack two stages upon having any stat lowered.
255,129,"Der attack und die special attack eines Pokémon mit dieser Fähigkeit werden halbiert, wenn es nur noch 50% oder weniger seiner maximalen hp hat.",de,Halbiert attack und special attack wenn nur 50% oder weniger der max hp übrig sind.
260,129,This Pokémon's Attack and Special Attack are halved when it has half its HP or less.,en,Halves Attack and Special Attack at 50% max HP or less.
257,130,"Attacken die ein Pokémon mit dieser Fähigkeit treffen, haben eine 30% Chance blockiert zu werden.",de,"30% Chance Attacken zu blockieren von denen das Pokémon getroffen wurde."
263,130,Moves that hit this Pokémon have a 30% chance of being Disabled afterward.,en,Has a 30% chance of Disabling any move that hits the Pokémon.
262,131,"Benachbarte Teampartner von Pokémon mit dieser Fähigkeit, haben eine 30% Chance am Ende jeder Runde von einer major status ailment geheilt zu werden.",de,"30% Chance angrenzende Teampartner jede Runde von einer major status ailment zu heilen."
268,131,Friendly Pokémon next to this Pokémon in double and triple battles each have a 30% chance of being cured of any major status ailment after each turn.,en,Has a 30% chance of curing each adjacent ally of any major status ailment after each turn.
265,132,"Alle Teampartner von Pokémon mit dieser Fähigkeit erhalten nur 0,75× so viel Schaden durch Attacken während das Pokémon im Kampf ist.

Der Effekt stapelt, wenn mehrere Pokémon mit dieser Fähigkeit im Kampf sind.",de,Verringert allen von Teampartnern erlitten Schaden um 75%.
275,132,"All friendly Pokémon take 0.75× as much direct damage from moves while this Pokémon is in battle.

This effect stacks if multiple allied Pokémon have it.",en,Decreases all direct damage taken by friendly Pokémon to 0.75×.
264,133,"Wenn ein Pokémon mit dieser Fähigkeit von einer physischen Attacke getroffen wird, wird seine speed um eine Stufe erhöht und seine defense um 1 Stufe gesenkt.

Attacken die mehrmals treffen lösen bei jedem Treffer diese Fähigkeit aus.",de,"Erhöht die speed und senkt die defense um eine Stufe, wenn es von einer physischen Attacke getroffen wird."
274,133,"Whenever a physical move hits this Pokémon, its Speed rises one stage and its Defense falls one stage.

This ability triggers on every hit of a multiple-hit move.",en,Raises Speed and lowers Defense by one stage each upon being hit by a physical move.
266,134,"Pokémon mit dieser Fähigkeit haben ein doppelt so hohes Gewicht, wie andere von der selben Spezies.",de,Verdoppelt das Gewicht des Pokémon.
276,134,This Pokémon has double the usual weight for its species.,en,Doubles the Pokémon's weight.
267,135,"Pokémon mit dieser Fähigkeit haben ein halb so hohes Gewicht, wie andere von der selben Spezies.",de,Halbiert das Gewicht des Pokémon.
277,135,This Pokémon has half the usual weight for its species.,en,Halves the Pokémon's weight.
269,136,"Pokémon mit dieser Fähigkeit erleiden nur halben Schaden, wenn sie volle hp haben.",de,Halbiert den erlittenen Schaden bei vollen hp.
279,136,This Pokémon takes half as much damage when it is hit having full HP.,en,Halves damage taken from full HP.
270,137,"Pokémon mit dieser Fähigkeit haben einen 1,5× so hohen attack, wenn sie vergiftet sind.",de,"Erhöht den attack um 50%, wenn das Pokémon vergiftet ist."
278,137,This Pokémon has 1.5× its Attack when poisoned.,en,Increases Attack to 1.5× when poisoned.
271,138,"Pokémon mit dieser Fähigkeit haben einen 1,5× so hohen special attack, wenn sie brennen.",de,"Erhöht den special attack um 50%, wenn das Pokémon brennt."
280,138,This Pokémon has 1.5× its Special Attack when burned.,en,Increases Special Attack to 1.5× when burned.
273,139,"Pokémon mit dieser Fähigkeit haben nach jeder Runde eine Chance von 50% eine verbrauchte Beere wiederherzustellen, wenn das letzte verbrauchte Item eine Beere war und es gerade kein Item trägt. Bei starkem Sonnenlicht ist die Chance 100%.",de,"50% Chance nach jeder Runde eine verbrauchte Beere wiederherzustellen, wenn in der Zwischenzeit kein anderes Item erlangt wurde."
281,139,"After each turn, if the last item this Pokémon consumed was a Berry and it is not currently holding an item, it has a 50% chance of regaining that Berry, or a 100% chance during strong sunlight.",en,Has a 50% chance of restoring a used Berry after each turn if the Pokémon has held no items in the meantime.
272,140,"Pokémon mit dieser Fähigkeit erleiden keinen Schaden von Attacken von Teampartnern, inklusive solchen Attacken die nur ein Ziel treffen und direkt auf das Pokémon gerichtet sind.",de,Schützt vor Attacken von Partner die Schaden anrichten.
282,140,"This Pokémon does not take damage from friendly Pokémon's moves, including single-target moves aimed at it.",en,Protects against friendly Pokémon's damaging moves.
283,141," Nach jeder Runde erhöht sich ein zufälliger Statuswert von Pokémon mit dieser Fähigkeit um 2 Stufen und ein anderer wird um 1 Stufe gesenkt.

Wenn ein Statuswert bereits -6 oder +6 Stufen erreicht hat, wird er nicht zufällig ausgewählt.",de,Erhöht einen zufälligen Statuswert um 2 Stufen und senkt einen anderen um 1 Stufe nach jeder Runde.
288,141,"After each turn, one of this Pokémon's stats at random rises two stages, and another falls one stage.

If a stat is already at 6 or -6 stages, it will not be chosen to be increased or decreased, respectively.",en,Raises a random stat two stages and lowers another one stage after each turn.
284,142,Pokémon mit dieser Fähigkeit erhalten keinen Schaden durch Wettereffekte.,de,Schützt vor Schäden durch weather.
290,142,This Pokémon does not take damage from weather.,en,Protects against damage from weather.
285,143,"Die Attacken mit Kontakt von Pokémon mit dieser Fähigkeit haben mit jedem Schlag eine 30% Chance das Ziel zu vergiften.

Das zählt als Zusatzeffekt im Sinne von shield dust. Diese Fähigkeit löst vor mummy aus.",de,"30% Chance, den Gegner bei Kontakt zu vergiften."
289,143,"This Pokémon's contact moves have a 30% chance of poisoning the target with each hit.

This counts as an extra effect for the purposes of shield dust.  This ability takes effect before mummy.",en,Has a 30% chance of poisoning target Pokémon upon contact.
286,144,"Pokémon mit dieser Fähigkit heilen 1/3 ihrer maximalen hp, wenn sie aus irgend einem anderen Grund als besiegt zu werden ausgewechselt werden.

Die Fähigkeit löst nicht aus, wenn der Kampf endet.",de,Heilt beim Auswechseln 1/3 der max hp.
294,144,"This Pokémon regains 1/3 of its maximum HP when it is switched out for another Pokémon under any circumstances other than having fainted.

This ability does not take effect when a battle ends.",en,Heals for 1/3 max HP upon switching out.
